Absolute Frequency,Frequency change,Thickness[nm],Timestamp
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:37.620759
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:37.727321
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:37.839220
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:37.945853
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:38.061170
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:38.168396
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:38.276288
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:38.383817
2676136.0,-1323864.0,-26477280.0,2022-10-03 09:24:38.492802
4000165.0,165.0,3300.0,2022-10-03 09:24:38.605359
4000165.0,165.0,3300.0,2022-10-03 09:24:38.718608
4000165.0,165.0,3300.0,2022-10-03 09:24:38.824422
4000165.0,165.0,3300.0,2022-10-03 09:24:38.931604
4000165.0,165.0,3300.0,2022-10-03 09:24:39.040294
4000165.0,165.0,3300.0,2022-10-03 09:24:39.152036
4000165.0,165.0,3300.0,2022-10-03 09:24:39.258823
